,p,d,q,filter,filt_q,smape,is_log,is_norm
Main_Page_en.wikipedia.org_all-access_all-agents,8,2,18,,,5.0,True,True
大塚芳忠_ja.wikipedia.org_all-access_all-agents,9,0,2,,,19.6,True,True
The_Huntsman:_Winter's_War_en.wikipedia.org_mobile-web_all-agents,20,2,14,,,23.4,True,True
Temperatura_es.wikipedia.org_all-access_all-agents,20,0,16,,,18.9,True,True
Resident_Evil_7:_Biohazard_en.wikipedia.org_all-access_all-agents,20,2,0,,,13.5,True,True
"Путин,_Владимир_Владимирович_ru.wikipedia.org_mobile-web_all-agents",3,0,2,,,22.5,True,True
Coca-Cola_en.wikipedia.org_all-access_all-agents,9,0,15,,,9.7,True,True
Josh_Brolin_en.wikipedia.org_all-access_all-agents,19,1,14,,,24.7,True,True
Dick_Van_Dyke_en.wikipedia.org_all-access_all-agents,14,0,15,,,17.9,True,True
Cinco_de_Mayo_en.wikipedia.org_all-access_all-agents,11,0,6,,,12.8,True,True
