,p,d,q,ps,ds,qs,s,filter,filt_q,smape,is_log,is_norm
Main_Page_en.wikipedia.org_all-access_all-agents,1,1,1,1,0,1,7,,,9.5,True,True
大塚芳忠_ja.wikipedia.org_all-access_all-agents,1,1,1,1,0,2,7,,,27.8,True,True
The_Huntsman:_Winter's_War_en.wikipedia.org_mobile-web_all-agents,0,1,2,1,0,1,7,,,23.4,True,True
Temperatura_es.wikipedia.org_all-access_all-agents,2,0,1,10,0,1,7,,,26.1,True,True
Resident_Evil_7:_Biohazard_en.wikipedia.org_all-access_all-agents,0,1,0,0,0,0,7,,,24.8,True,True
"Путин,_Владимир_Владимирович_ru.wikipedia.org_mobile-web_all-agents",1,1,1,1,0,1,7,,,31.7,True,True
Coca-Cola_en.wikipedia.org_all-access_all-agents,1,1,2,2,0,1,7,,,11.9,True,True
Josh_Brolin_en.wikipedia.org_all-access_all-agents,1,1,3,1,0,1,7,,,27.3,True,True
Dick_Van_Dyke_en.wikipedia.org_all-access_all-agents,2,0,1,0,0,0,7,,,21.0,True,True
Cinco_de_Mayo_en.wikipedia.org_all-access_all-agents,2,1,0,0,0,5,7,,,22.5,True,True
