page,estimator,trend_order,n_fourier,filter,q,smape,is_log,is_norm
Main_Page_en.wikipedia.org_all-access_all-agents,OLS,0,7,deriv_filter,0.93,15.5,True,True
Main_Page_en.wikipedia.org_all-access_all-agents,Huber,0,4,deriv_filter,0.99,19.2,True,True
Main_Page_en.wikipedia.org_all-access_all-agents,RANSAC,0,5,deriv_filter,0.91,13.6,True,True
大塚芳忠_ja.wikipedia.org_all-access_all-agents,OLS,1,1,deriv_filter,0.92,22.7,True,True
大塚芳忠_ja.wikipedia.org_all-access_all-agents,Huber,1,3,quantile_filter,0.98,22.1,True,True
大塚芳忠_ja.wikipedia.org_all-access_all-agents,RANSAC,2,10,deriv_filter,0.94,20.7,True,True
The_Huntsman:_Winter's_War_en.wikipedia.org_mobile-web_all-agents,OLS,2,1,deriv_filter,0.95,23.5,True,True
The_Huntsman:_Winter's_War_en.wikipedia.org_mobile-web_all-agents,Huber,2,9,quantile_filter,0.98,25.2,True,True
The_Huntsman:_Winter's_War_en.wikipedia.org_mobile-web_all-agents,RANSAC,2,7,deriv_filter,0.94,24.5,True,True
Temperatura_es.wikipedia.org_all-access_all-agents,OLS,2,7,quantile_filter,0.95,17.6,True,True
Temperatura_es.wikipedia.org_all-access_all-agents,Huber,1,7,quantile_filter,0.96,17.1,True,True
Temperatura_es.wikipedia.org_all-access_all-agents,RANSAC,2,7,quantile_filter,0.96,15.3,True,True
Resident_Evil_7:_Biohazard_en.wikipedia.org_all-access_all-agents,OLS,0,5,deriv_filter,0.98,7.0,True,True
Resident_Evil_7:_Biohazard_en.wikipedia.org_all-access_all-agents,Huber,0,5,quantile_filter,0.93,6.7,True,True
Resident_Evil_7:_Biohazard_en.wikipedia.org_all-access_all-agents,RANSAC,0,1,quantile_filter,0.91,7.1,True,True
"Путин,_Владимир_Владимирович_ru.wikipedia.org_mobile-web_all-agents",OLS,1,3,deriv_filter,0.96,17.6,True,True
"Путин,_Владимир_Владимирович_ru.wikipedia.org_mobile-web_all-agents",Huber,1,1,deriv_filter,0.95,17.4,True,True
"Путин,_Владимир_Владимирович_ru.wikipedia.org_mobile-web_all-agents",RANSAC,2,6,deriv_filter,0.93,15.5,True,True
Coca-Cola_en.wikipedia.org_all-access_all-agents,OLS,1,7,deriv_filter,0.97,9.4,True,True
Coca-Cola_en.wikipedia.org_all-access_all-agents,Huber,1,7,deriv_filter,0.92,9.4,True,True
Coca-Cola_en.wikipedia.org_all-access_all-agents,RANSAC,1,4,quantile_filter,0.91,9.2,True,True
Josh_Brolin_en.wikipedia.org_all-access_all-agents,OLS,2,3,deriv_filter,0.94,29.9,True,True
Josh_Brolin_en.wikipedia.org_all-access_all-agents,Huber,2,1,quantile_filter,0.94,28.4,True,True
Josh_Brolin_en.wikipedia.org_all-access_all-agents,RANSAC,1,6,quantile_filter,0.91,24.3,True,True
Dick_Van_Dyke_en.wikipedia.org_all-access_all-agents,OLS,1,2,deriv_filter,0.97,18.6,True,True
Dick_Van_Dyke_en.wikipedia.org_all-access_all-agents,Huber,1,1,quantile_filter,0.97,18.1,True,True
Dick_Van_Dyke_en.wikipedia.org_all-access_all-agents,RANSAC,1,3,deriv_filter,0.98,19.4,True,True
Cinco_de_Mayo_en.wikipedia.org_all-access_all-agents,OLS,0,10,quantile_filter,0.9,14.8,True,True
Cinco_de_Mayo_en.wikipedia.org_all-access_all-agents,Huber,1,3,quantile_filter,0.98,12.5,True,True
Cinco_de_Mayo_en.wikipedia.org_all-access_all-agents,RANSAC,0,4,quantile_filter,0.9,11.9,True,True
